"gene1","gene2"
"cirA","entA"
"cirA","entB"
"entA","entB"
"cirA","entC"
"entA","entC"
"entB","entC"
"fecA","fecB"
"fecA","fecR"
"fecI","fecR"
"dps","fepB"
"fecR","fepB"
"dsbG","fepC"
"fecA","fepC"
"fecB","fepC"
"fecR","fepC"
"fepB","fepC"
"dsbG","fepG"
"fecA","fepG"
"fecB","fepG"
"fecR","fepG"
"fepB","fepG"
"fepC","fepG"
"cirA","fes"
"entA","fes"
"entB","fes"
"entC","fes"
"fecA","fes"
"fecR","fes"
"cirA","fhuE"
"entA","fhuE"
"entB","fhuE"
"entC","fhuE"
"fecA","fhuE"
"fecI","fhuE"
"fecR","fhuE"
"fes","fhuE"
"acrB","fldB"
"acnA","fumC"
"dppD","gor"
"fpr","livJ"
"marA","marB"
"fur","napA"
"fur","napF"
"fur","napH"
"napG","napH"
"napF","narK"
"fumA","nfo"
"fur","nirB"
"napA","nirB"
"entC","nrdE"
"nrdE","nrdI"
"dsbG","oxyR"
"fecA","oxyR"
"fecB","oxyR"
"fepC","oxyR"
"fepG","oxyR"
"pqiB","puuB"
"marR","pyrI"
"pyrB","pyrI"
"rybA","sodA"
"pqqL","soxS"
"cirA","sufA"
"entC","sufA"
"fes","sufA"
"entC","sufC"
"fecI","sufC"
"fecR","sufC"
"fes","sufC"
"fhuE","sufC"
"sufA","sufC"
"recN","sulA"
"pqiB","uxuA"
"puuB","uxuA"
"puuB","uxuB"
"uxuA","uxuB"
"recN","xisE"
"fecB","yddB"
"oxyR","yddB"
"yddA","ydiE"
"napF","yfiD"
"yddA","ygaW"
"recN","ymfJ"
"xisE","ymfJ"
"recN","ymfL"
"xisE","ymfL"
"ymfJ","ymfL"
"recN","ymfM"
"xisE","ymfM"
"ymfJ","ymfM"
"ymfL","ymfM"
"xisE","ymfN"
"ymfJ","ymfN"
"ymfL","ymfN"
"ymfM","ymfN"
"fecI","yncE"
"fecR","yncE"
"fepB","yncE"
"fepC","yncE"
"fecA","yqjH"
"fecI","yqjH"
"fecR","yqjH"
"fes","yqjH"
"fhuE","yqjH"
"yodB","yqjH"
"yebA","znuB"
