gene_list	type
cueO	gene
ykgM	gene
cusC	gene
cusF	gene
cusB	gene
cusA	gene
entD	gene
fepA	gene
fes	gene
entF	gene
fepE	gene
fepC	gene
fepG	gene
fepD	gene
entS	gene
fepB	gene
entC	gene
entE	gene
entB	gene
entA	gene
entH	gene
sdhD	gene
sdhB	gene
ybiI	gene
ybiX	gene
fiu	gene
sulA	gene
flgB	gene
fhuE	gene
xisE	gene
ymfH	gene
ymfJ	gene
ymfL	gene
ymfM	gene
ymfN	gene
ycgK	gene
narK	gene
tyrV	gene
ompW	gene
puuA	gene
puuC	gene
puuB	gene
puuE	gene
yncE	gene
narU	gene
pqqL	gene
yddB	gene
yddA	gene
ydfZ	gene
ynfM	gene
fumA	gene
sodB	gene
sufE	gene
sufS	gene
sufD	gene
sufC	gene
sufB	gene
sufA	gene
ydiE	gene
yebA	gene
znuA	gene
znuC	gene
znuB	gene
leuZ	gene
fliA	gene
zinT	gene
yodB	gene
yoeA	gene
flu	gene
yeeR	gene
yeeE	gene
cirA	gene
napH	gene
napG	gene
napA	gene
napF	gene
yfiD	gene
recN	gene
nrdH	gene
nrdI	gene
nrdE	gene
nrdF	gene
ygaX	gene
yghF	gene
yghG	gene
glcD	gene
yqjH	gene
bfd	gene
nirB	gene
zntA	gene
dppF	gene
dppD	gene
dppC	gene
dppB	gene
tyrU	gene
leuX	gene
fecD	gene
fecB	gene
fecA	gene
fecR	gene
fecI	gene
rybA	gene
isrC	gene
ryhB	gene
ykgO	gene
ybdZ	gene
yjjZ	gene
yoeG	gene
prpB	gene
fur	gene
modF	gene
ymfL	gene
pqqL	gene
zinT	gene
flu	gene
gatB	gene
gatA	gene
hmp	gene
ygaW	gene
mtr	gene
livJ	gene
ilvC	gene
ytfE	gene
pyrI	gene
pyrB	gene
yjiY	gene
mrr	gene
ahpC	gene
ahpF	gene
dps	gene
dsbG	gene
fhuF	gene
flu	gene
fur	gene
gntP	gene
gor	gene
grxA	gene
hcp	gene
hcr	gene
hemH	gene
katG	gene
mntH	gene
nfsA	gene
oxyR	gene
oxyS	gene
rimK	gene
sufA	gene
sufB	gene
sufC	gene
sufD	gene
sufE	gene
sufS	gene
trxC	gene
uxuA	gene
uxuB	gene
yaaA	gene
ybjC	gene
ybjN	gene
yhjA	gene
acnA	gene
acrA	gene
acrB	gene
fldA	gene
fldB	gene
fpr	gene
fumC	gene
fur	gene
inaA	gene
marA	gene
marB	gene
marR	gene
micF	gene
nfo	gene
nfsA	gene
nfsB	gene
pgi	gene
poxB	gene
pqiA	gene
pqiB	gene
ptsG	gene
rfaZ	gene
ribA	gene
rimK	gene
rob	gene
sodA	gene
soxS	gene
tolC	gene
waaY	gene
ybjC	gene
ybjN	gene
ygiA	gene
ygiB	gene
ygiC	gene
zinT	gene
zwf	gene
ahpC	gene
ahpF	gene
dps	gene
dsbG	gene
fhuF	gene
flu	gene
fur	gene
gntP	gene
gor	gene
grxA	gene
hcp	gene
hcr	gene
hemH	gene
katG	gene
mntH	gene
nfsA	gene
oxyR	gene
oxyS	gene
rimK	gene
sufA	gene
sufB	gene
sufC	gene
sufD	gene
sufE	gene
sufS	gene
trxC	gene
uxuA	gene
uxuB	gene
yaaA	gene
ybjC	gene
ybjN	gene
yhjA	gene
ahpC	gene
ahpF	gene
dps	gene
dsbG	gene
fhuF	gene
flu	gene
fur	gene
gntP	gene
gor	gene
grxA	gene
hcp	gene
hcr	gene
hemH	gene
katG	gene
mntH	gene
nfsA	gene
oxyR	gene
oxyS	gene
rimK	gene
sufA	gene
sufB	gene
sufC	gene
sufD	gene
sufE	gene
sufS	gene
trxC	gene
uxuA	gene
uxuB	gene
yaaA	gene
ybjC	gene
ybjN	gene
yhjA	gene
