"","ID","CIBLES","INTERACTION"
"11","omrA","cirA","sRNA_interaction"
"14","omrA","fecA","sRNA_interaction"
"15","omrB","fecA","sRNA_interaction"
"16","omrB","cirA","sRNA_interaction"
"29","ryhB","fur","sRNA_interaction"
"32","ryhB","acnA","sRNA_interaction"
"33","ryhB","fumA","sRNA_interaction"
"60","fnrS","sodA","sRNA_interaction"
"99","rybB","fumC","sRNA_interaction"
"153","fnrS","marA","sRNA_interaction"
"156","ryhB","nirB","sRNA_interaction"
"157","ryhB","marA","sRNA_interaction"
"173","oxyS","pqqL","sRNA_interaction"
"179","oxyS","dps","sRNA_interaction"
